City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kailua,US,2020-12-23 03:08:10,21.4,-157.74,82.4,65,20,8.05
1,Hilo,US,2020-12-23 03:08:10,19.73,-155.09,80.6,65,20,9.17
2,Longyearbyen,SJ,2020-12-23 03:08:11,78.22,15.64,24.8,79,40,44.96
3,Havelock,US,2020-12-23 03:08:11,34.88,-76.9,39.99,100,1,5.61
4,Codrington,AU,2020-12-23 03:08:11,-38.27,141.97,62.56,63,19,11.21
5,Asau,RO,2020-12-23 03:08:11,46.43,26.4,33.01,87,97,4.23
6,Kysyl-Syr,RU,2020-12-23 03:08:12,63.9,122.76,-45.09,77,86,0.85
7,Rikitea,PF,2020-12-23 03:08:12,-23.12,-134.97,77.81,67,9,7.52
8,Dikson,RU,2020-12-23 03:08:12,73.51,80.55,-31.61,82,0,11.56
9,Albany,US,2020-12-23 03:06:01,42.6,-73.97,35.6,69,90,16.11
10,Itaituba,BR,2020-12-23 03:08:13,-4.28,-55.98,76.86,85,100,0.78
11,Mataura,NZ,2020-12-23 03:08:13,-46.19,168.86,57.58,95,100,3.83
12,Te Anau,NZ,2020-12-23 03:08:13,-45.42,167.72,55.94,84,100,2.19
13,Tazovskiy,RU,2020-12-23 03:08:13,67.47,78.7,-32.42,84,99,2.1
14,Sarangani,PH,2020-12-23 03:08:13,5.4,125.46,84.06,72,73,18.88
15,Bambous Virieux,MU,2020-12-23 03:08:14,-20.34,57.76,79.0,78,40,12.75
16,Ushuaia,AR,2020-12-23 03:07:46,-54.8,-68.3,46.4,61,40,3.36
17,Nanortalik,GL,2020-12-23 03:08:14,60.14,-45.24,32.92,94,100,25.84
18,Skelleftea,SE,2020-12-23 03:08:14,64.75,20.95,37.4,93,100,10.29
19,Sitka,US,2020-12-23 03:04:08,57.05,-135.33,42.8,56,40,23.04
20,Casper,US,2020-12-23 03:08:15,42.87,-106.31,26.01,85,90,6.93
21,Bud,US,2020-12-23 03:08:15,39.45,-86.18,36.0,74,1,6.93
22,Georgetown,MY,2020-12-23 03:05:53,5.41,100.34,84.2,74,20,8.05
23,Qaanaaq,GL,2020-12-23 03:08:16,77.48,-69.36,1.87,70,5,9.51
24,Guerrero Negro,MX,2020-12-23 03:08:16,27.98,-114.06,59.49,69,0,9.01
25,Vaini,TO,2020-12-23 03:08:16,-21.2,-175.2,80.6,88,75,6.93
26,Vallenar,CL,2020-12-23 03:08:16,-28.57,-70.76,61.09,69,0,3.62
27,Umm Kaddadah,SD,2020-12-23 03:08:16,13.6,26.69,67.39,26,0,16.35
28,Kasongo-Lunda,CD,2020-12-23 03:08:17,-6.47,16.82,67.64,92,100,0.22
29,Kapaa,US,2020-12-23 03:08:17,22.08,-159.32,78.8,74,1,6.93
30,Tasiilaq,GL,2020-12-23 03:08:17,65.61,-37.64,19.4,62,0,2.24
31,Axim,GH,2020-12-23 03:08:18,4.87,-2.24,78.39,88,6,7.76
32,Srednekolymsk,RU,2020-12-23 03:08:18,67.45,153.68,-24.77,86,100,3.94
33,Half Moon Bay,US,2020-12-23 03:08:18,37.46,-122.43,51.01,81,1,12.75
34,Xining,CN,2020-12-23 03:08:19,36.62,101.77,21.0,64,0,2.91
35,Souillac,MU,2020-12-23 03:08:19,-20.52,57.52,77.0,78,40,12.75
36,Avdon,RU,2020-12-23 03:08:19,54.67,55.72,17.6,78,90,8.95
37,Atar,MR,2020-12-23 03:08:20,20.52,-13.05,60.24,34,1,14.27
38,Lleida,ES,2020-12-23 03:03:41,41.62,0.62,37.4,100,69,1.12
39,Kenora,CA,2020-12-23 03:08:20,49.82,-94.43,19.4,92,90,12.75
40,Airai,TL,2020-12-23 03:08:20,-8.93,125.41,63.3,100,100,2.95
41,Mabaruma,GY,2020-12-23 03:08:21,8.2,-59.78,72.91,98,95,3.47
42,East London,ZA,2020-12-23 03:08:21,-33.02,27.91,68.67,80,0,8.23
43,Fukue,JP,2020-12-23 03:08:21,32.69,128.84,55.4,58,75,4.7
44,Oistins,BB,2020-12-23 03:08:22,13.07,-59.53,80.6,69,40,21.92
45,Hermanus,ZA,2020-12-23 03:08:22,-34.42,19.23,64.0,96,47,12.12
46,Lieksa,FI,2020-12-23 03:08:22,63.32,30.02,34.45,93,100,11.23
47,Mahebourg,MU,2020-12-23 03:08:22,-20.41,57.7,77.0,78,40,12.75
48,Abonnema,NG,2020-12-23 03:08:22,4.71,6.79,76.91,91,0,4.97
49,Chake Chake,TZ,2020-12-23 03:08:23,-5.25,39.77,78.13,85,64,8.03
50,Kahului,US,2020-12-23 03:06:11,20.89,-156.47,82.4,61,40,17.22
51,Arman,RU,2020-12-23 03:08:23,59.7,150.17,-7.64,83,100,14.92
52,Soure,BR,2020-12-23 03:08:23,-0.72,-48.52,79.52,80,95,8.77
53,Bengkulu,ID,2020-12-23 03:08:24,-3.8,102.27,84.96,61,6,2.08
54,Iskateley,RU,2020-12-23 03:08:24,67.68,53.15,-19.34,84,70,10.07
55,Avarua,CK,2020-12-23 03:06:20,-21.21,-159.78,78.8,74,87,3.36
56,Puerto Ayacucho,VE,2020-12-23 03:08:24,5.66,-67.62,76.08,89,83,2.15
57,Vardo,NO,2020-12-23 03:08:24,70.37,31.11,34.03,89,100,15.73
58,Nikolskoye,RU,2020-12-23 03:08:25,59.7,30.79,33.01,95,90,8.95
59,Norman Wells,CA,2020-12-23 03:06:03,65.28,-126.83,-14.8,75,20,5.82
60,Jamestown,US,2020-12-23 03:08:25,42.1,-79.24,32.0,92,90,6.93
61,Veinticinco De Mayo,AR,2020-12-23 03:08:25,-35.43,-60.17,73.99,45,0,3.0
62,Riyadh,SA,2020-12-23 03:06:41,24.69,46.72,53.6,54,0,4.7
63,Narsaq,GL,2020-12-23 03:08:26,60.92,-46.05,33.8,50,100,5.82
64,Severo-Kurilsk,RU,2020-12-23 03:08:26,50.68,156.12,21.16,88,95,25.79
65,Buraydah,SA,2020-12-23 03:08:26,26.33,43.98,55.4,87,40,5.82
66,Hithadhoo,MV,2020-12-23 03:04:07,-0.6,73.08,82.53,79,100,20.02
67,Busselton,AU,2020-12-23 03:08:27,-33.65,115.33,86.0,41,0,4.0
68,San Patricio,US,2020-12-23 03:08:27,28.02,-97.52,68.0,82,90,12.75
69,Kiunga,PG,2020-12-23 03:08:27,-6.12,141.29,96.64,44,8,1.77
70,Punta Arenas,CL,2020-12-23 03:08:27,-53.15,-70.92,46.4,65,100,10.29
71,Tura,IN,2020-12-23 03:08:27,25.52,90.22,67.64,58,0,1.5
72,Bo Phloi,TH,2020-12-23 03:08:28,14.32,99.52,75.7,55,68,8.75
73,Puerto Ayora,EC,2020-12-23 03:05:42,-0.74,-90.35,71.01,94,17,6.29
74,Barrow,US,2020-12-23 03:05:11,71.29,-156.79,-9.4,69,1,25.28
75,Severodvinsk,RU,2020-12-23 03:08:28,64.56,39.83,33.8,100,90,4.47
76,Necochea,AR,2020-12-23 03:08:29,-38.55,-58.74,73.99,56,100,12.08
77,Kruisfontein,ZA,2020-12-23 03:08:29,-34.0,24.73,69.01,93,100,8.66
78,Loukhi,RU,2020-12-23 03:08:29,66.08,33.04,32.41,96,100,4.32
79,Araouane,ML,2020-12-23 03:08:29,18.9,-3.53,57.25,40,0,12.62
80,Labuhan,ID,2020-12-23 03:08:29,-6.88,112.21,84.67,71,88,11.34
81,Sovetskaya,RU,2020-12-23 03:08:30,44.78,41.17,30.31,96,96,7.2
